REVIEWID,HOTELID,SERVICE,PRICE,ROOM,LOCATION,OVERALL
1,2,2,4,2,3,2
2,2,4,4,4,5,4
3,2,1,2,3,3,2
4,2,4,4,5,5,4
5,2,5,5,5,5,4
6,2,1,1,1,1,1
7,2,5,5,5,5,5
8,2,5,5,5,5,5
9,2,4,5,2,3,4
10,2,1,4,2,2,2
11,2,5,5,5,5,5
12,2,4,4,4,4,4
13,2,4,4,4,5,4
14,2,5,5,5,5,5
15,2,5,5,4,5,4
16,2,4,5,5,4,4
17,2,4,4,4,5,4
18,2,5,5,5,5,5
19,2,5,5,5,5,5
20,2,2,3,2,3,2
21,2,4,5,4,4,4
22,2,5,4,5,5,5
23,2,5,5,5,5,5
24,2,3,4,4,3,3
25,2,4,5,4,4,4
26,2,4,4,5,5,4
27,2,4,4,2,5,4
28,2,4,5,5,5,5
1,3,4,4,4,4,4
2,3,5,5,5,5,5
3,3,5,4,4,4,4
4,3,5,5,5,5,4
5,3,5,5,5,5,5
6,3,5,4,4,4,4
7,3,5,3,3,4,4
1,6,3,2,2,2,2
2,6,3,5,3,4,3
3,6,3,2,3,1,2
4,6,5,4,5,4,4
5,6,4,5,4,5,4
6,6,5,4,4,4,4
7,6,5,5,5,5,5
8,6,5,4,5,4,4
9,6,4,3,4,4,4
10,6,4,4,5,3,4
11,6,3,3,3,4,3
12,6,3,2,3,2,2
13,6,5,4,5,5,4
14,6,5,5,5,5,5
15,6,3,3,4,3,3
16,6,5,5,5,4,5
17,6,3,5,3,3,3
18,6,4,3,4,3,3
19,6,2,3,1,3,2
20,6,3,3,3,3,3
1,7,4,4,4,4,4
2,7,5,5,5,4,5
3,7,4,3,5,5,4
4,7,4,4,5,5,4
5,7,5,5,5,5,5
6,7,1,1,1,1,1
7,7,5,5,4,5,4
8,7,3,5,4,3,4
9,7,4,5,4,5,4
10,7,5,5,5,5,5
11,7,1,2,2,1,1
12,7,2,1,1,1,1
13,7,5,5,5,5,5
14,7,5,5,5,5,5
15,7,5,5,5,5,4
16,7,5,5,5,4,4
17,7,3,3,4,3,3
18,7,4,4,3,5,4
19,7,4,3,5,5,4
20,7,5,5,5,5,4
21,7,2,2,3,3,2
22,7,5,5,5,5,5
23,7,5,4,4,5,4
24,7,3,4,2,3,3
25,7,1,1,1,2,1
26,7,4,5,5,3,4
27,7,5,5,5,5,5
28,7,4,5,4,5,3
29,7,1,1,1,1,1
30,7,1,1,1,1,1
31,7,5,5,5,5,5
32,7,2,2,2,2,2
33,7,5,5,5,5,5
1,9,5,5,5,5,5
1,12,2,2,2,2,2
2,12,5,5,5,5,5
3,12,4,3,3,5,3
4,12,5,5,5,5,5
5,12,4,4,5,4,4
6,12,4,4,4,4,4
7,12,5,5,5,5,5
8,12,5,5,5,5,5
9,12,1,1,1,1,1
10,12,5,5,5,5,5
1,16,5,5,5,5,5
2,16,5,5,5,5,5
3,16,5,4,4,4,4
4,16,5,4,5,5,5
5,16,5,5,5,5,5
6,16,5,5,5,5,5
7,16,4,3,4,4,3
8,16,2,2,3,1,1
9,16,5,5,5,5,5
10,16,4,5,4,4,4
11,16,5,4,4,4,4
12,16,4,3,3,3,4
13,16,5,5,5,5,5
14,16,5,5,5,5,4
15,16,5,4,5,5,5
16,16,5,5,5,5,5
17,16,5,3,5,5,5
18,16,3,3,3,5,3
19,16,4,3,4,3,3
