HOTELID,NAME,CITY,COUNTRY
1,China  Aloft  Haidian,Beijing,China
2,China  Ascott,Beijing,China
3,China  Autumn Garden Courtyard Hotel,Beijing,China
4,China  Bamboo Garden Hotel,Beijing,China
5,China   Century Towers,Beijing,China
6,China   Dong Fang Hotel,Beijing,China
7,China   Far East International Youth Hostel,Beijing,China
8,China   Friendship Hotel Grand Building,Beijing,China
9,China   Guangming Hotel,Beijing,China
10,China   Hotel,Beijing,China
11,China   International Hotel,Beijing,China
12,China   Jade International Youth Hostel,Beijing,China
13,China   Sihe Courtyard Hotel,Beijing,China
14,China  Bohao Radegast Hotel,Beijing,China
15,China  Capital Hotel,Beijing,China
16,China  China World Hotel,Beijing,China
17,China  City Hotel,Beijing,China
18,China  Commune By The Great Wall Kempinski,Beijing,China
19,China  Courtyard 7,Beijing,China
20,China  Courtyard By Marriott,Beijing,China
21,China  Courtyard By Marriott  Northeast,Beijing,China
22,China  Crowne Plaza Hotel,Beijing,China
23,China  Crowne Plaza Hotel Zhongguancun,Beijing,China
24,China  Crowne Plaza International Airport Hotel,Beijing,China
25,China  Crowne Plaza Park View Wuzhou,Beijing,China
26,China  Crowne Plaza Sun Palace,Beijing,China
27,China  Days Inn Forbidden City,Beijing,China
28,China  Days Inn Joiest,Beijing,China
29,China  Doubletree By Hilton,Beijing,China
30,China  Double Happiness Courtyard Hotel,Beijing,China
31,China  Empark Grand Hotel,Beijing,China
32,China  Fujian Hotel,Beijing,China
33,China  Gloria Plaza Hotel,Beijing,China
34,China  Grand Hotel,Beijing,China
35,China  Grand Hyatt,Beijing,China
36,China  Grand Mercure Hotel Xidan,Beijing,China
37,China  Grand Millennium,Beijing,China
38,China  Grand View Garden Hotel,Beijing,China
39,China  Guangzhou Hotel,Beijing,China
40,China  Harmony Hotel,Beijing,China
41,China  Hebei Hotel,Beijing,China
42,China  Hilton,Beijing,China
43,China  Hilton  Wangfujing,Beijing,China
44,China  Holiday Inn  Lido,Beijing,China
45,China  Holiday Inn Central Plaza,Beijing,China
46,China  Holiday Inn Chang An West,Beijing,China
47,China  Holiday Inn Downtown,Beijing,China
48,China  Holiday Inn Express  Minzuyuan,Beijing,China
49,China  Holiday Inn Express  Temple Of Heaven,Beijing,China
50,China  Holiday Inn Express  Wangjing,Beijing,China
51,China  Holiday Inn Temple Of Heaven,Beijing,China
52,China  Hollyear Hotel,Beijing,China
53,China  Hotel Cote Cour,Beijing,China
54,China  Hotel G,Beijing,China
55,China  Hotel Ibis  Sanyuan,Beijing,China
56,China  Hotel Kunlun,Beijing,China
57,China  Hotel New Otani Chang Fu Gong,Beijing,China
58,China  Howard Johnson Paragon,Beijing,China
59,China  Huadu Hotel,Beijing,China
60,China  Hwa Apartment Hotel,Beijing,China
61,China  Intercontinental  Beichen,Beijing,China
62,China  Intercontinental Financial Street,Beijing,China
63,China  Jade Garden Hotel,Beijing,China
64,China  Jianguo Hotel Qianmen,Beijing,China
65,China  Jian Guo Hotel,Beijing,China
66,China  Jinqiao International Apartment Hotel,Beijing,China
67,China  Joy City Hotel,Beijing,China
