IDREVIEW,HOTELID,REVIEW
262,2131,"Dec 24 2007 	A great choice whether you're there for business or for romance	It may sound a bit strange, but I think it's true. Perfect for business and for romance too (not so for singles, partiers, families with kids and so on).Elegant, quiet, perfectly located in a very good part of town ... I think the Omni really has it all. It's obsviously not an inexpensive choice, but their rates are very reasonable for what you get.The lobby is beautiful and the rooms extremely clean, quite large and very comfortable, with incredible beds and bathrooms wonderfully appointed with marble and green and black granite. Room service was very good and front desk staff was efficient.One of the definite pluses of the hotel is the express check-out. So efficient, as you bypass the usual check-out procedures (unless you disagree with the price to pay). You gave them your credit card when checking-in, so finding your final bill in an envelope at your door room the final morning and simply leaving is always a great thing.The restaurant is average and quite overpriced, but I guess this is somewhat usual in this kind of properties. It was definitely what I like the least. You don't need to pay such prices for breakfast or dinner, especially considering you will find plenty of fantastic places to eat at reasonable prices in nearby North Beach and all over the city.The location is the very best I could personally ask for. I understand that those who visit San Francisco for the first time usually prefer to stay in Union Square (which, by the way, is within walking distance) or in Fisherman's Wharf (which I would never recommend), but, for me, the area around the Omni is the very best. for the following reasons:a) The area is very nice and you're within walking distance to places such as Union Square, North Beach, Chinatown, the Embarcadero, the cable car turntable, and so on.b) It is very quiet, as it is located at the edge of the financial district.So, when I have enough budget for it, the Omni is, for all those reasons and more, my personal choice in San Francisco, my very favourite city."
263,2131,"Dec 17 2007 	Great hotel for an anniversary stay	My husband and I decided to splurge on a nice hotel for our third wedding anniversary. We live only an hour from San Francisco, but wanted to eat a nice dinner there, plus we had tickets for a football game the next afternoon. We got a decent price for a one-night stay, and we got more than our money's worth at this very luxurious hotel! The staff was incredibly friendly, the standard room was very comfortable, and it's an overall beautiful place. I liked the complimentary bath robes, and the toiletries in the bathroom smelled wonderful! The bar/lounge is nice, although the bartender on shift at the time was a little stiff. Check-in was quick, although we checked in online ahead of time and they didn't have our folio ready. Loved the warm apple cider and cookies they had available for guests downstairs! The hotel is in a great location near Union Square, although we didn't do any sight-seeing since we just had dinner and the football game in mind for our stay. I can't speak to the restaurant (we had breakfast at Starbucks a couple of blocks away) or the business traveler amenities, but I'm sure they're quite nice.NOTE: Parking is a MAJOR expense at San Francisco hotels, and this one is no exception! We did our homework and found a 24-hour city lot one block up the street to park our car - St. George's Square lot, I believe. We only paid $7 for the night (although I think the cashier made an error...it still would have been cheaper than the $45 the hotel would have charged us for valet)."
264,2131,"Dec 13 2007 	Hotel stay part was great marred by concierge and steakhouse	We were there the day after Thanksgiving. It had a nice upscale feel for a reasonable rate of about $160 for a regular room (Thanksgiving weekend). Perfect if you want something nice that is kid friendly. Our family had a room, and the other family we were traveling with had 2 rooms with connecting doors. Both of our families have children ages 5 to 11. We loved the pretty hotel, decked out for the holidays. We loved its proximity to Chinatown (5 mins walk), and around 10 min walk to Union Square. It was a block away from a Walgreens and McDonalds, which is convenient if you have kids. The children loved their Omni backpacks and the complimentary milk and cookies. The staff is nice and attentive, they clean the room 2x/day. Downside is the concierge. They gave wrong information on restaurants twice - once they gave the wrong address to a restaurant they recommended at the Fisherman's Wharf. Another time they assured (and refused to double check) that a restaurant will be open for Thanksgiving dinner. When we got there, the restaurant was closed. They also were not aware of a fun pack that the Omni loans to kids that contains games and activities and such.For the restaurant in the hotel, Bob's Steakhouse... It was &quot;ok&quot;. One thing a steak purist would frown on is that the steak comes to you with a humongous giant single carrot right in the middle of the plate as if it is the main dish. The steak and the potatoes are to its left and right. Also, the carrot was dripping in glaze that contaminated our steak. When we inquired about this, they said that it is a Bob's Steakhouse signature (putting the carrot in the middle), but you can always ask to put it on the side."
265,2131,"Dec 9 2007 	Great Hotel in a Great City	My partner and I stayed at the Omni for a long weekend, we are former residents of San Francisco and are well acquainted with The City and all it has to offer. The Omni is ideally located, within walking distance to Union Square (great shopping), Belden Place (great dining) and the Cable Car stops right outside the front door of the hotel. We found the staff to be friendly, accommodating and quite professional, the hotel itself has the feel of a smaller boutique hotel and is an excellent choice for lodging. Definitely plan to stay here again in the near future."
266,2131,"Dec 8 2007 	Top San Francisco Hotel	Two nights on business. Second time at this excellent hotel. Consider this one of the best chain hotels I've stayed in and one of the best in Sand Francisco. All requests made during reservations are met by the Omni. On the way to airport left cell phone in limo and Lex Doherty, the excellent concierge, arranged for the phone to be sent by FED EX to my home the following morning. Hotel has added touches such as a creative way of giving you a semi-complimentary continental breakfast... coffee and juice are free... with minimal charges for extras. CB is delivered to your room with newspapers without all the formality of room service. They leave at door so you don't have to answer immediately early in the AM. Excellent location and very convient and friendly staff."
267,2131,"Dec 8 2007 	Beautiful Hotel A+	The hotel is beautiful and the location could not be more perfect! However it is the staff at the Omni that makes this hotel above the rest. Upon our arrival the front desk assisted my daughter and myself to plan tours, directions and transportation for our stay. Joey &quot;suggested&quot; not pushed on several choices based on our interests. As we were in the first few minutes of unpacking in our room, Joey sent complimentary refreshments via roomservice. The extra attention the entire staff including the housekeeping service was beyond our expectations. Rooms are nice, clean and comfortable. Chinatown and Union Square are within walking distance. Other transportation we purchased the 3 day muni pass and rode the trolley and cable cars to every destination on our list. The suggested tours of Muir Woods and Napa Wine Country were awesome. Tower Tours picked us up from the hotel front door, they were well worth every cent. The tour guide named Will was outstanding. It is recommended 100%. We will certainly return to the Omni for our next visit to this fantastic city and would not even consider another hotel. Although we did not dine at Bob's, I regret not having done so. It will be on the list the next visit!"
268,2131,"Dec 7 2007 	bland 	we had great expectations regarding our stay at this hotel after reading all the reviews on tripadvisor. We were also able to book 3 nights at a very good rate through omni's website. There was nothing wrong with this hotel except that it was exceptionally bland. It was comfortable (but so are courtyard hotels) &amp; clean (as you would expect) but it had no zing.Not that we were looking for nightlife but, like much of america, it was so processed it was boring. The front desk staff where ok but lacked any connection with their guests (this is, I admit, very common in the states - &quot;have a happy day&quot;!)When we arrived to the room both my wife &amp; I were glad that we had only paid $135USD not the usual $250-$400, as that was what it was worth.We had just come from the Signature MGM in Las Vegas which knocked us out!"
269,2131,"Nov 28 2007 	Great Place Great Location!	This was the last leg of our Honeymoon (having already been to Vegas and Hawaii) and we were looking for a relaxed atmosphere and comfort and we struck gold again!...The hotel was lovely and clean, the staff friendly and the food excellent in the attached Bobs Steakhouse...hint - try the Massive onion rings..mmmmmm.... just in the right place for you to get to the embarcadero for the F-trams or walking, or turn right to tackle the big ole hills (well worth it!)...Cant fault the place at all!...a perfect end to a perfect honeymoon...S"
270,2131,"Nov 21 2007 	Great Location Nice Hotel	I stayed at the Omni in San Francisco 11/10/07 for 1 night. I have been to San Francisco many, many times and this rates as one of the best hotels I've stayed at. They have a great location, the rooms were above average, and they have a restaurant that is definitely better than most hotel restaurants. (Bob's Chophouse)What prompted me to stay at this Omni for the first time in San Francisco was a free upgrade room pass I received for my horrible stay at the Omni in Austin, TX. I swore after that experience that I wouldn't stay again at an Omni, but wanted to use the upgrade and liked this location. Well, the upgrade (and what I was told I'd receive when I made the reservation) would have been an upgraded courtyard view. That didn't happen...we were given the inferior room anyway with an alley view so they didn't even utilize the upgrade or give us the room promised. If that hadn't occurred my experience would have been rated as &quot;excellent&quot;."
271,2131,"Nov 20 2007 	Overall a great place to stay	We stayed at the Omni Hotel a family of 4 including 2 small children, for 2 nights. On arrival my children were given a backpacks with gifts from the hotel which they were delighted with, checkin was also very quick and staff friendly. Our room was a deluxe room it was very comfortable, classically decorated and very nicely finished. The lobby area of the hotel is also very grand with beautiful chandliers and staircase. The hotel is a very short walk from china town where we enjoyed a meal one night, the only downside to the hotel was the valet parking, A call had to be made to request your car 20 minutes prior, we did this 4 times during our stay and twice had to wait another 10 minutes also. Parking rates are expensive at 50 dollars a night.This aside the hotel and our room were lovely and all dealings we had with the staff , we found them to be helpful and friendly."
272,2131,Nov 10 2007 	excellent	The staff and hotel were superb. Customer service from every staff member was amazing - recommendations for dining and attractions were right on - never too busy to help. The location of the hotel was terrific for walking to many of the prime tourist areas - safe and secure. Our room on the 5th floor was opulent.
