IDREVIEW,HOTELID,REVIEW
31,1456,Jul 5 2005	Great hotel great price!	Stayed in Montreal for 3 days. I was VERY impressed with this hotel. Clean and location was perfect. I would stay here again without hesitation!
32,1456,"May 24 2005	Rip off	I should have listened to the above reviews saying not to stay here. The staff is indeed very rude and does not care at all if you are not happy. Every time we called the front desk to ask for directions or help on where to go for food or entertainment, they didn't have a clue about anything and was like pulling teeth to get them to help. When we asked if they had a vending machine the guy at the front desk told us that no they don't have one and what do we expect for a 3 star hotel! That's actually what he said! We witnessed the girl at the front desk tell someone that there is a $50.00 fee if you check out late and she actually hung up on the person she was telling this to. So if you stay there don't check out late! Also, we arrived at 3:40 in the afternoon. Check in time is 3:00. Our room was not ready yet and we were told it would be another 30 minutes! Room should have been ready at 3:00!! The room itself was OK, A bit outdated. Not the nicest, and definitely NOT worth the $149.00 we were quoted on the phone when we called. We ended up with a last minute deal for $93.00 but I'd say this room was worth maybe $79.00. The girl at the desk told us we had an adjoining room and we ended up with two rooms down completely different hallways. When we asked about this she told us that she didn't know what adjoining meant. We had a couple of problems with maids telling us they had written down on their sheet that we were checking out that day when we weren't so we had to go clear that up with the front desk. And they never did bother to come and give us clean towels or make our beds on our second day. We had to find a maid in the hallway and ask her to come and do that at 5:00 in the evening. The day we arrived our bath tub had hairs all over it. So they clearly don't clean that in between customers. And the &quot;indoor&quot; parking has about 10 spots (for $16.00 a day). Good luck getting in and out of that parking garage. We were charged $1.15 for each LOCAL call we made. Usually that is free. We had two rooms and the phone in the other room wasn't working properly. On a positive note, the guy who ran the bar in the restaurant was friendly and far more helpful with directions than the front desk and the young guy who worked in the smoke shop was friendly also and helped us with directions. They should be at the front desk."
33,1456,Apr 10 2005 	Excellent	I stayed for a night at this hotel and since I came late I requested an extension of the time of the checkout and my request was very nicely accepted. My room was very clean and the staff were very professional and very nice even guiding me through maps over the major outlets in the city and I would highly recommend it for anyone who is in a business trip in downtown or for leisure.
34,1456,"Mar 11 2005	Obviously they do not care about their customers	We booked 2 nights in Montreal at the Hotel Lord Berri about a month in advance of our trip. We booked through hotels and on the web site concerning the Hotel Lord Berri it stated &quot;indoor parking (free)&quot;. Well when we got there, the desk clerk told us there was no indoor parking and we had to park outside and pay $13 a day. Upon leaving the hotel we discovered there was indoor parking and asked to speak to the manager about it, since our two night stay turned into a three night stay due to damage while we were parked in the parking lot outside. He was not in and two desk clerks were very helpful with our concerns and issues. However, the first employee we talked to was beyond the point rude. She was not helpful at all and infact insulted us instead. We were told the manager would call us in a day and discuss our concerns with the parking and his employees. He did not call and when we finally called in a couple days later, while we were still on vacation, he made it clear he purposely did not call us and would not help us. After a long chat he said he would call us back in a week after talking to his employees. Well he didn't and when we did again he began yelling and simply hung up on us. The hotel obviously is not concerned with the satisfaction of their customers and I would never reconmmend that hotel to even my worst enemy."
35,1456,Oct 29 2004	Good hotel great location	The hotel was clean. Staff friendly. Restaurant served a good breakfast. One block from Berri subway station. 2 blocks from Quarter Latin. Quiet area. I couldn't ask for a better hotel for $80.00/night. My friends and I are going back next year and we will again stay here.
36,1456,Sep 24 2004	A Comfortable Place to Stay	A decent place to stay for a weekend getaway. Facility is clean and close enough to St. Catherine's Street. The rooms are comfortable. The price is fair. I stayed at this hotel 2 years ago and I am actually booking another trip to Montreal next month and this is where I plan on staying.
37,1456,"Oct 3 2002	Rip off	For the price $120 a night its complete rip off. Its is not 3 star hotel AT ALL. I booked 3 weeks in advance asking for non-smoking and guess what...got smoking room. Its an old hotel therefore the floors are smelly. Rooms have tiny windows looking across the other hotel. At the front desk young guys are on minimum wages so dont expect any professionalism. I asked for iron in the morning, wow! they did not know it was broken, it was 100 year old iron. The people in the hotel are all groups. This hotel sells rooms at discounted prices for probably $30 to a groups so buses all over. If you don't want to spoil you trip in Montreal, don't stay there. We only could stay one night and moved out to Fabourge hotel closer to downtown. Its a 2 star but what a difference!!!! for SAME PRICE!!! New hotel, just a year build. Breakfast included, valet parking, professional staff, beautifull!!! Recommended very much."
38,1456,"Apr 1 2002	Good and resonable place to stay.	Lord Berri, is always really reasonable and good accommodations. I have been to the more expensive hotels in Montreal and I found that my experience at Lord Berri has been the best."
39,1456,Nov 1 2009 	cet htel doit tre ferm
40,1456,Oct 20 2009 	zentrale Lage
