IDREVIEW,HOTELID,REVIEW
21,1724,Sep 28 2009 	Very nice hotel walking distance to Connaught Place	Very nice hotel with helpful staff and walking distance to Connaught Place
22,1724,Sep 20 2009 	Our home away from home for seven nights	We loved this hotel. It was our home for a total of 7 nights during our 3 week trip to India this summer. The security is very impressive. We felt very safe and secure in a city which is pretty crazy at times. A full breakfast was included. We had most meals in the 24/7 resturant located on the first floor. Desk people were beautifully dressed and very helpful. Room service was immediate. They even knew our names. All issues were addressed promptly. The pool area is breathtaking. Lounge chairs rest in the water. Service was very impressive. We all had our hair cut and other services of the spa which were first rate. The shop owners in the hotel were especially nice. We bought sari's and beautiful scarves from Kashmiri Arts located on the second floor. We stayed at many hotel during our stay which were nice but the Lalit is in a class all its own.
23,1724,"Sep 19 2009 	Impressive !!	Hotel Lalit has beautiful new rooms. Myself and my clients were impressed with the service. Mr Ravindra Kumar, F&amp;B Manager has been very courteous and always make sure that clients go back satisfied and come back to Lalit for their next trip to India. I always impressed with Ravindra. He has been sending regular mails to remind us the interesting events, gala dinners held in The Lalit.. What a great way to be in touch with the clients in various countries..As promised with Ravindra Kumar I recommended my clients to stay for 15 room nights in month of September 2009. Yesterday I got the feedback from the client that service was impressive and Ravindra and other staff of hotel took good care. All my Japanese clients felt like home.. Thank you Lalit and thank you Ravindra.."
24,1724,"Sep 16 2009 	Beautiful hotel	I stayed at the Lalit with my partner during our recent visit to India. The hotel is impressive with high ceiling and modern furishings. Nice facilities especially the swimming pool and gym is equipped with new and good machines. The room is clean and comfortable. The staff are polite. Many nice restaurants in the hotel, breakfast is good with wide spread of food, I had dinner at Wok however food is not up to expectation should be improved with its presentation and taste. Excellent location just minutes away to the famous bengali market."
25,1724,"Sep 15 2009 	Overall satisfactory but some minor problems	We stayed three nights at the Lalit. I had a mixed experience with them during our stay. We had some minor issues besides that everything went well. We had booked through a travel agent and got a good rate for the room inclusive of breakfast.The location of this hotel is really good five minutes from railway station and Connaught Place. It was convenient as shopping and loads of restaurants were around the corner. Taxi charged Rs. 50 and auto rickshaw charged Rs. 20 to go to CP. Taxis were available at all times and rickshaw could be hired from outside the hotel.The lobby is breathtaking with a nice waterfall, huge paintings and pianist, everything in the lobby is spanking brand new. Our room was on the 19th floor with a great view but the room was really old and it was especially visible in the bathroom with old taps, rickety shower, watermarks and chips in the wash basin. We had problems with air conditioning making noises and that got fixed and one day cable went off as well but was fixed promptly. These are very minor issues but for a five star should have been fixed beforehand and it makes a difference between a good and great stay.The breakfast was really good; it was buffet style with both Indian and American options. There are tons of different items and baked goods as well. The food was prepared fresh and had several cooking stations.The attitude of the staff was great and were always willing to help with a smile. Wifi is available for Rs 200 for 30 minutes. I signed up for this twice and used it for about 10 minutes each, but upon checkout they billed for Rupees 850 stating that I used the internet for an hour each but could not explain the charges as I had only signed up for the half an hour option. I was not going to argue over $10 as they said have to check with the IT to find out the problem.We were a bit let down with some little issues, these things are not expected of a hotel trying to compete with Taj or Oberoi. Overall we had a satisfactory stay at the Lalit and will probably stay again because of its great location."
26,1724,"Sep 10 2009 	Fantastic Hotel	On a recent stay I found the Lalit to be a great hotel to stay at in New Delhi. Very modern with a beutiful lobby, great rooms, great restraunts/bar &amp; a lovely pool area. Staff were always very friendly &amp; helpful and the bed was soo comfortable!Pool area very nice with lots of lounges to choose, my only gripe that no alcohol would be served by the pool, so much for my cocktail &amp; a swim! Was about 4 blocks walking distance to shops/market or a few minutes tuk tuk ride for about 40 rupees. Price of food at hotel felt a little over the top for India, though it was beautiful food, the buffet to die for &amp; it should be expected at a 5 star hotel.This hotel deserves it 5 stars, I would stay again, it was a great choice"
27,1724,"Sep 9 2009 	A more intimate 5 star business hotel	Usually stay in The Park or the Imperial but booked into this place for a change. Good gym, small but perfectly formed, with new machines. Bar not too uber trendy or pretentious. Good standard/choice of food on the buffet/a la carte. What I really liked was the feeling that this hotel was not just another huge, anonymous 5 star hotel that you can rattle around in (although it did have approx 500 rooms!). Will definitely use again."
28,1724,Sep 3 2009 	Good service good value for Delhi	Have stayed at the Lalit three times now.The continued updating of the building is good. The pool and terrace were available on this trip and are very nice. A small oasis of calm in the middle of Delhi. Only downside is the piped music can get on your nerves.Staff are friendly and the service is good. Room service food and restaurant a'la Carte menu is always a joy.When we first stayed there it had the largest range in a breakfast buffet I've ever seen. Unfortunately it seems to be getting smaller and relies more on processed and pre-packed products. This might be a minor point but it was an attraction on earlier visits. It is possibly seasonal.WiFi/Internet price is high. Business centre printing prices are extortionate.
29,1724,Aug 28 2009 	Absolutely delightful	I really liked the property. Location is excellent and the hotel is 5 star delux i would say. At the bargain i got it was a steal. The rooms are classy and they upgraded me to their superior room on my request at the reception. Further even a late check out was given .Reception was good and very helpful.
30,1724,"Aug 17 2009 	Nice Hotel good room	This is a nice hotel in the heart of new delhi. I was traveling with my friends. We had a nice rooms.The hotel was helpful with helping us to get information about newdelhi, recommending and booking nice restaurants.But the cups and kettle in the room verey dirty they dont wash it well take care ,,see and wash them good befor you use them.Bathroom verey cute but there is problem in shower basin water is stuck ..Internet verey expensive.."
31,1724,"Jul 27 2009 	Excellent place	Well the rooms were extremely good,staff nice,the 24x7coffee shop great,choice of breakfast was the best I ever had in india.In short...excellent hotel.."
